LID,Language,Longitude,Latitude,ISO639.3,Continent,Area,Macrocontinent
2150,Ndut,-16.92,14.92,ndv,Africa,African Savannah,Africa
2455,Noon,-16.83,14.83,snf,Africa,African Savannah,Africa
3144,Diola-Kasa,-16.75,12.5,csk,Africa,African Savannah,Africa
1487,Palor,-16.75,14.83,fap,Africa,African Savannah,Africa
3226,Sereer,-16.39,13.89,srr,Africa,African Savannah,Africa
1977,Manjaku,-16.25,12,mfv,Africa,African Savannah,Africa
3026,Bandial,-16.21,12.39,bqj,Africa,African Savannah,Africa
524,Diola-Fogny,-16,13,dyo,Africa,African Savannah,Africa
2735,Wolof,-16,15.25,wol,Africa,African Savannah,Africa
2806,Zenaga,-16,17.33,zen,Africa,African Savannah,Africa
1929,Mankanya,-15.92,12.08,knf,Africa,African Savannah,Africa
172,Mandinka,-15.67,15,mnk,Africa,African Savannah,Africa
1027,Balanta,-15.33,12.25,bjt,Africa,African Savannah,Africa
1018,Biafada,-15.17,11.42,bif,Africa,African Savannah,Africa
2325,Guinea Bissau Crioulo,-15,12,pov,Africa,African Savannah,Africa
1073,Baga Sitemu,-14.5,10.5,bsp,Africa,African Savannah,Africa
1504,Fula (Senegal),-14,15,fuc,Africa,African Savannah,Africa
1291,Fula (Mauritanian),-13.75,16.5,fuc,Africa,African Savannah,Africa
1173,Konyagi,-13.25,12.5,cou,Africa,African Savannah,Africa
3031,Bullom So,-13.23,8.66,buy,Africa,African Savannah,Africa
2546,Temne,-13.08,8.67,tem,Africa,African Savannah,Africa
1071,Basari,-13,12.67,bsc,Africa,African Savannah,Africa
2493,Susu,-13,10,sus,Africa,African Savannah,Africa
2910,Sherbro,-12.93,7.9,bun,Africa,African Savannah,Africa
1506,Fula (Guinean),-12.5,11.5,fuf,Africa,African Savannah,Africa
1909,Loko,-12.08,9.33,lok,Africa,African Savannah,Africa
1978,Mende,-11.5,7.83,men,Africa,African Savannah,Africa
1745,Koranko,-11.25,9.33,knk,Africa,African Savannah,Africa
2683,Vai,-11.25,6.92,vai,Africa,African Savannah,Africa
2032,Maninka (Western),-11,13,mlq,Africa,African Savannah,Africa
1558,Gola,-10.83,7.25,gol,Africa,African Savannah,Africa
2983,Jalonke,-10.73,10.03,yal,Africa,African Savannah,Africa
2458,Soninke,-10.5,15,snk,Africa,African Savannah,Africa
1699,Xasonga,-10.5,14.25,kao,Africa,African Savannah,Africa
2903,Dewoin,-10.46,6.19,dee,Africa,African Savannah,Africa
1521,Bandi,-10.25,8.08,bza,Africa,African Savannah,Africa
643,Kisi,-10.1,8.5,kss,Africa,African Savannah,Africa
1800,Kpelle,-10,7,kpe,Africa,African Savannah,Africa
1910,Loma,-9.5,8,lom,Africa,African Savannah,Africa
2044,Maninka,-9.5,10.5,emk,Africa,African Savannah,Africa
80,Fula,-9,13,fub,Africa,African Savannah,Africa
1971,Mano,-9,7,mev,Africa,African Savannah,Africa
1780,Klao,-8.75,4.75,klu,Africa,African Savannah,Africa
1259,Dan (Blowo),-8.17,7.33,dnj,Africa,African Savannah,Africa
490,Dan,-8,7.5,dnj,Africa,African Savannah,Africa
504,Grebo,-8,5,grb,Africa,African Savannah,Africa
1585,Guere,-7.75,6.67,gxx,Africa,African Savannah,Africa
516,Bambara,-7.5,12.5,bam,Africa,African Savannah,Africa
2113,Mauka,-7.5,8.33,mxx,Africa,African Savannah,Africa
2731,Wobe,-7.33,7.42,wob,Africa,African Savannah,Africa
2864,Toura,-7.3,7.5,neb,Africa,African Savannah,Africa
997,Bété (Guiberoua),-6.25,6.25,bet,Africa,African Savannah,Africa
2410,Senadi,-6.25,9.5,sef,Africa,African Savannah,Africa
1265,Dogoso,-6.05,10.58,dts,Africa,African Savannah,Africa
1554,Guro,-6,7,goa,Africa,African Savannah,Africa
3166,Neyo,-6,5,ney,Africa,African Savannah,Africa
3187,Wan,-5.87,7.83,wan,Africa,African Savannah,Africa
